#type,size,gDim,bDim,time,bw in GB/s
Copy_register->shared,1000,   3,   2,8.76663e-066,0.3422
Copy_register->shared,8000,   3,   2,4.61695e-056,0.5198
Copy_register->shared,16000,   3,   2,4.54334e-056,1.056
Copy_register->shared,24000,   3,   2,4.54606e-056,1.584
Copy_register->shared,32000,   3,   2,4.54338e-056,2.113
Copy_register->shared,40000,   3,   2,4.54024e-056,2.643
Copy_register->shared,48000,   3,   2,4.54478e-056,3.168
Copy_register->shared,1000,   4,   2,7.01586e-066,0.5701
Copy_register->shared,8000,   4,   2,4.52786e-056,0.7067
Copy_register->shared,16000,   4,   2,4.54229e-056,1.409
Copy_register->shared,24000,   4,   2,4.54628e-056,2.112
Copy_register->shared,32000,   4,   2,4.54261e-056,2.818
Copy_register->shared,40000,   4,   2,4.54084e-056,3.524
Copy_register->shared,48000,   4,   2,4.54322e-056,4.226
Copy_register->shared,1000,   5,   2,5.81073e-066,0.8605
Copy_register->shared,8000,   5,   2,3.64601e-056,1.097
Copy_register->shared,16000,   5,   2,4.53984e-056,1.762
Copy_register->shared,24000,   5,   2,4.54093e-056,2.643
Copy_register->shared,32000,   5,   2,4.53996e-056,3.524
Copy_register->shared,40000,   5,   2,4.5383e-056,4.407
Copy_register->shared,48000,   5,   2,4.54003e-056,5.286
Copy_register->shared,1000,  10,   2,3.79663e-066,2.634
Copy_register->shared,8000,  10,   2,1.86975e-056,4.279
Copy_register->shared,16000,  10,   2,3.5847e-056,4.463
Copy_register->shared,24000,  10,   2,4.54317e-056,5.283
Copy_register->shared,32000,  10,   2,4.54186e-056,7.046
Copy_register->shared,40000,  10,   2,4.65786e-056,8.588
Copy_register->shared,48000,  10,   2,4.54109e-056,10.57
Copy_register->shared,1000,  20,   2,2.79706e-066,7.15
Copy_register->shared,8000,  20,   2,1.00906e-056,15.86
Copy_register->shared,16000,  20,   2,1.86034e-056,17.2
Copy_register->shared,24000,  20,   2,2.71406e-056,17.69
Copy_register->shared,32000,  20,   2,3.57308e-056,17.91
Copy_register->shared,40000,  20,   2,5.43837e-056,14.71
Copy_register->shared,48000,  20,   2,6.10225e-056,15.73
Copy_register->shared,1000,  30,   2,2.75924e-066,10.87
Copy_register->shared,8000,  30,   2,7.33109e-066,32.74
Copy_register->shared,16000,  30,   2,1.29858e-056,36.96
Copy_register->shared,24000,  30,   2,1.85981e-056,38.71
Copy_register->shared,32000,  30,   2,2.44079e-056,39.33
Copy_register->shared,40000,  30,   2,5.67903e-056,21.13
Copy_register->shared,48000,  30,   2,6.87668e-056,20.94
Copy_register->shared,1000,  40,   2,2.91838e-066,13.71
Copy_register->shared,8000,  40,   2,5.79659e-066,55.2
Copy_register->shared,16000,  40,   2,1.00878e-056,63.44
Copy_register->shared,24000,  40,   2,1.43125e-056,67.07
Copy_register->shared,32000,  40,   2,3.46947e-056,36.89
Copy_register->shared,40000,  40,   2,4.33066e-056,36.95
Copy_register->shared,48000,  40,   2,5.16291e-056,37.19
Copy_register->shared,1000,  50,   2,2.85916e-066,17.49
Copy_register->shared,8000,  50,   2,4.98332e-066,80.27
Copy_register->shared,16000,  50,   2,8.39628e-066,95.28
Copy_register->shared,24000,  50,   2,1.18073e-056,101.6
Copy_register->shared,32000,  50,   2,2.82889e-056,56.56
Copy_register->shared,40000,  50,   2,3.5538e-056,56.28
Copy_register->shared,48000,  50,   2,4.21692e-056,56.91
Copy_register->shared,1000,  60,   2,2.76256e-066,21.72
Copy_register->shared,8000,  60,   2,4.49243e-066,106.8
Copy_register->shared,16000,  60,   2,7.39978e-066,129.7
Copy_register->shared,24000,  60,   2,1.36097e-056,105.8
