#type,size,gDim,bDim,time,bw in GB/s
Copy_global->shared,10000,   5, 100,2.76697e-066,18.07
Copy_global->shared,10000,  10, 100,2.68652e-066,37.22
Copy_global->shared,10000,  20, 100,2.82793e-066,70.72
Copy_global->shared,10000,  30, 100,2.68939e-066,111.5
Copy_global->shared,10000,  40, 100,2.63143e-066, 152
Copy_global->shared,10000,  50, 100,2.68956e-066,185.9
Copy_global->shared,10000,  60, 100,3.67747e-066,163.2
Copy_global->shared,10000,   1, 200,4.09465e-066,2.442
Copy_global->shared,10000,   2, 200,2.97402e-066,6.725
Copy_global->shared,10000,   3, 200,2.64454e-066,11.34
Copy_global->shared,10000,   4, 200,2.76189e-066,14.48
Copy_global->shared,10000,   5, 200,2.73522e-066,18.28
Copy_global->shared,10000,  10, 200,2.6746e-066,37.39
Copy_global->shared,10000,  20, 200,2.69131e-066,74.31
Copy_global->shared,10000,  30, 200,2.7281e-066, 110
Copy_global->shared,10000,  40, 200,2.77419e-066,144.2
Copy_global->shared,10000,  50, 200,2.77397e-066,180.2
Copy_global->shared,10000,  60, 200,2.66186e-066,225.4
Copy_global->shared,10000,   1, 500,2.68295e-066,3.727
Copy_global->shared,10000,   2, 500,2.79225e-066,7.163
Copy_global->shared,10000,   3, 500,2.75107e-066,10.9
Copy_global->shared,10000,   4, 500,2.73418e-066,14.63
Copy_global->shared,10000,   5, 500,2.6509e-066,18.86
Copy_global->shared,10000,  10, 500,2.64321e-066,37.83
Copy_global->shared,10000,  20, 500,2.74422e-066,72.88
Copy_global->shared,10000,  30, 500,2.67027e-066,112.3
Copy_global->shared,10000,  40, 500,2.73423e-066,146.3
Copy_global->shared,10000,  50, 500,2.6167e-066,191.1
Copy_global->shared,10000,  60, 500,2.78693e-066,215.3
Copy_global->shared,10000,   1, 750,2.64837e-066,3.776
Copy_global->shared,10000,   2, 750,2.76302e-066,7.238
Copy_global->shared,10000,   3, 750,2.77054e-066,10.83
Copy_global->shared,10000,   4, 750,2.81619e-066,14.2
Copy_global->shared,10000,   5, 750,2.81365e-066,17.77
Copy_global->shared,10000,  10, 750,2.68723e-066,37.21
Copy_global->shared,10000,  20, 750,2.57071e-066,77.8
Copy_global->shared,10000,  30, 750,2.73675e-066,109.6
Copy_global->shared,10000,  40, 750,2.75865e-066, 145
Copy_global->shared,10000,  50, 750,2.70505e-066,184.8
Copy_global->shared,10000,  60, 750,2.6386e-066,227.4
