#type,size,gDim,bDim,stride,modulo,clock
Shared_memory_bank_conflict_test, 512,   1,   4,  18,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  19,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  20,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  21,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  22,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  23,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  24,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  25,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  26,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  27,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  28,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  29,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  30,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  31,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  32,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  33,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  34,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  35,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  36,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  37,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  38,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  39,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  40,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  41,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  42,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   4,  43,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  44,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  45,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  46,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  47,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  48,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  49,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  50,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  51,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  52,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  53,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  54,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  55,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  56,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  57,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  58,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  59,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  60,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  61,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  62,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  63,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   4,  64,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   8,   1,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   2,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   3,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   4,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   5,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   6,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   7,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   8,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,   9,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  10,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  11,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  12,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  13,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  14,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  15,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  16,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  17,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  18,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   8,  19,32768, 108
