#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->register,8000,   3,   2,1.45305e-056,1.652
Copy_shared->register,16000,   3,   2,1.45664e-056,3.295
Copy_shared->register,24000,   3,   2,1.46012e-056,4.931
Copy_shared->register,32000,   3,   2,1.46011e-056,6.575
Copy_shared->register,40000,   3,   2,1.46019e-056,8.218
Copy_shared->register,48000,   3,   2,1.44974e-056,9.933
Copy_shared->register,1000,   4,   2,3.85219e-066,1.038
Copy_shared->register,8000,   4,   2,1.425e-056,2.246
Copy_shared->register,16000,   4,   2,1.46047e-056,4.382
Copy_shared->register,24000,   4,   2,1.45259e-056,6.609
Copy_shared->register,32000,   4,   2,1.46177e-056,8.757
Copy_shared->register,40000,   4,   2,1.45489e-056,  11
Copy_shared->register,48000,   4,   2,1.45699e-056,13.18
Copy_shared->register,1000,   5,   2,3.38674e-066,1.476
Copy_shared->register,8000,   5,   2,1.18923e-056,3.364
Copy_shared->register,16000,   5,   2,1.48205e-056,5.398
Copy_shared->register,24000,   5,   2,1.4521e-056,8.264
Copy_shared->register,32000,   5,   2,1.46027e-056,10.96
Copy_shared->register,40000,   5,   2,1.45245e-056,13.77
Copy_shared->register,48000,   5,   2,1.45824e-056,16.46
Copy_shared->register,1000,  10,   2,2.82257e-066,3.543
Copy_shared->register,8000,  10,   2,7.02017e-066,11.4
Copy_shared->register,16000,  10,   2,1.18191e-056,13.54
Copy_shared->register,24000,  10,   2,1.46226e-056,16.41
Copy_shared->register,32000,  10,   2,1.47772e-056,21.66
Copy_shared->register,40000,  10,   2,1.45569e-056,27.48
Copy_shared->register,48000,  10,   2,1.45432e-056,33.01
Copy_shared->register,1000,  20,   2,2.70353e-066,7.398
Copy_shared->register,8000,  20,   2,4.62479e-066,34.6
Copy_shared->register,16000,  20,   2,7.0035e-066,45.69
Copy_shared->register,24000,  20,   2,9.46872e-066,50.69
Copy_shared->register,32000,  20,   2,1.19425e-056,53.59
Copy_shared->register,40000,  20,   2,1.43768e-056,55.65
Copy_shared->register,48000,  20,   2,1.47811e-056,64.95
Copy_shared->register,1000,  30,   2,2.69532e-066,11.13
Copy_shared->register,8000,  30,   2,3.84599e-066,62.4
Copy_shared->register,16000,  30,   2,5.47062e-066,87.74
Copy_shared->register,24000,  30,   2,7.05092e-066,102.1
Copy_shared->register,32000,  30,   2,8.94438e-066,107.3
Copy_shared->register,40000,  30,   2,1.84511e-056,65.04
Copy_shared->register,48000,  30,   2,2.16289e-056,66.58
Copy_shared->register,1000,  40,   2,2.61439e-066,15.3
Copy_shared->register,8000,  40,   2,3.38848e-066,94.44
Copy_shared->register,16000,  40,   2,4.60592e-066, 139
Copy_shared->register,24000,  40,   2,5.81074e-066,165.2
Copy_shared->register,32000,  40,   2,1.1958e-056, 107
Copy_shared->register,40000,  40,   2,1.4575e-056,109.8
Copy_shared->register,48000,  40,   2,1.69038e-056,113.6
Copy_shared->register,1000,  50,   2,2.79896e-066,17.86
Copy_shared->register,8000,  50,   2,3.18872e-066,125.4
Copy_shared->register,16000,  50,   2,4.10993e-066,194.7
Copy_shared->register,24000,  50,   2,5.1265e-066,234.1
Copy_shared->register,32000,  50,   2,1.01518e-056,157.6
Copy_shared->register,40000,  50,   2,1.20373e-056,166.2
Copy_shared->register,48000,  50,   2,1.40613e-056,170.7
Copy_shared->register,1000,  60,   2,2.72363e-066,22.03
Copy_shared->register,8000,  60,   2,3.02651e-066,158.6
Copy_shared->register,16000,  60,   2,3.82518e-066, 251
Copy_shared->register,24000,  60,   2,7.06586e-066,203.8
Copy_shared->register,32000,  60,   2,8.90107e-066,215.7
Copy_shared->register,40000,  60,   2,1.45895e-056,164.5
Copy_shared->register,48000,  60,   2,1.75736e-056,163.9
Copy_shared->register,1000,   1,   3,6.2533e-066,0.1599
Copy_shared->register,8000,   1,   3,1.46008e-056,0.5479
Copy_shared->register,16000,   1,   3,1.45006e-056,1.103
Copy_shared->register,24000,   1,   3,1.45146e-056,1.654
Copy_shared->register,32000,   1,   3,1.46041e-056,2.191
Copy_shared->register,40000,   1,   3,1.45963e-056,2.74
Copy_shared->register,48000,   1,   3,1.45992e-056,3.288
Copy_shared->register,1000,   2,   3,4.18831e-066,0.4775
Copy_shared->register,8000,   2,   3,1.47101e-056,1.088
Copy_shared->register,16000,   2,   3,1.45307e-056,2.202
Copy_shared->register,24000,   2,   3,1.46137e-056,3.285
