#type        ,size ,stride_offset,gDim,bDim,time(s)    ,bandwidth(GB/s)
global-offset,9    ,7            ,1   ,2   ,1.29418e-05,7.7269e-05
global-offset,9    ,8            ,1   ,2   ,1.22714e-05,8.14903e-05
global-offset,9    ,9            ,1   ,2   ,1.07697e-05,9.28531e-05
global-offset,9    ,10           ,1   ,2   ,8.87e-06   ,0.00011274
global-offset,17   ,2            ,2   ,2   ,1.14541e-05,0.00017461
global-offset,17   ,3            ,2   ,2   ,1.12307e-05,0.000178083
global-offset,17   ,4            ,2   ,2   ,1.16078e-05,0.000172298
global-offset,17   ,5            ,2   ,2   ,6.6699e-06 ,0.000299855
global-offset,17   ,6            ,2   ,2   ,1.04485e-05,0.000191415
global-offset,17   ,7            ,2   ,2   ,1.22574e-05,0.000163167
global-offset,17   ,8            ,2   ,2   ,1.18732e-05,0.000168447
global-offset,17   ,9            ,2   ,2   ,1.10351e-05,0.00018124
global-offset,17   ,10           ,2   ,2   ,8.4439e-06 ,0.000236857
global-offset,25   ,2            ,3   ,2   ,1.09373e-05,0.000274291
global-offset,25   ,3            ,3   ,2   ,1.00015e-05,0.000299955
global-offset,25   ,4            ,3   ,2   ,1.11398e-05,0.000269305
global-offset,25   ,5            ,3   ,2   ,1.12866e-05,0.000265802
global-offset,25   ,6            ,3   ,2   ,1.11119e-05,0.000269981
global-offset,25   ,7            ,3   ,2   ,1.08256e-05,0.000277121
global-offset,25   ,8            ,3   ,2   ,8.2554e-06 ,0.000363399
global-offset,25   ,9            ,3   ,2   ,1.15659e-05,0.000259383
global-offset,25   ,10           ,3   ,2   ,1.11468e-05,0.000269136
global-offset,33   ,2            ,4   ,2   ,1.13145e-05,0.000353529
global-offset,33   ,3            ,4   ,2   ,1.09862e-05,0.000364093
global-offset,33   ,4            ,4   ,2   ,1.11887e-05,0.000357504
global-offset,33   ,5            ,4   ,2   ,1.10002e-05,0.00036363
global-offset,33   ,6            ,4   ,2   ,1.09304e-05,0.000365952
global-offset,33   ,7            ,4   ,2   ,1.24179e-05,0.000322116
global-offset,33   ,8            ,4   ,2   ,1.1531e-05 ,0.000346891
global-offset,33   ,9            ,4   ,2   ,1.13215e-05,0.00035331
global-offset,33   ,10           ,4   ,2   ,1.11818e-05,0.000357724
global-offset,41   ,2            ,5   ,2   ,7.8573e-06 ,0.000636351
global-offset,41   ,3            ,5   ,2   ,1.17684e-05,0.000424867
global-offset,41   ,4            ,5   ,2   ,1.12795e-05,0.000443282
global-offset,41   ,5            ,5   ,2   ,1.20199e-05,0.000415977
global-offset,41   ,6            ,5   ,2   ,1.11958e-05,0.000446596
global-offset,41   ,7            ,5   ,2   ,1.14542e-05,0.000436521
global-offset,41   ,8            ,5   ,2   ,1.13075e-05,0.000442184
global-offset,41   ,9            ,5   ,2   ,1.07208e-05,0.000466383
global-offset,41   ,10           ,5   ,2   ,8.5138e-06 ,0.000587282
global-offset,81   ,2            ,10  ,2   ,1.07068e-05,0.000933986
global-offset,81   ,3            ,10  ,2   ,6.5303e-06 ,0.00153132
global-offset,81   ,4            ,10  ,2   ,1.00015e-05,0.00099985
global-offset,81   ,5            ,10  ,2   ,1.1503e-05 ,0.000869338
global-offset,81   ,6            ,10  ,2   ,8.6884e-06 ,0.00115096
global-offset,81   ,7            ,10  ,2   ,7.7665e-06 ,0.00128758
global-offset,81   ,8            ,10  ,2   ,1.019e-05  ,0.000981354
global-offset,81   ,9            ,10  ,2   ,1.05182e-05,0.000950733
global-offset,81   ,10           ,10  ,2   ,1.16357e-05,0.000859424
global-offset,161  ,2            ,20  ,2   ,1.14472e-05,0.00174715
global-offset,161  ,3            ,20  ,2   ,1.08605e-05,0.00184154
global-offset,161  ,4            ,20  ,2   ,1.13354e-05,0.00176438
global-offset,161  ,5            ,20  ,2   ,1.37519e-05,0.00145434
global-offset,161  ,6            ,20  ,2   ,1.11678e-05,0.00179086
global-offset,161  ,7            ,20  ,2   ,1.03367e-05,0.00193485
