#type        ,size ,stride_offset,gDim,bDim,time(s)    ,bandwidth(GB/s)
global-offset,241  ,10           ,3   ,20  ,1.5058e-05 ,0.0019923
global-offset,321  ,2            ,4   ,20  ,1.28789e-05,0.00310586
global-offset,321  ,3            ,4   ,20  ,1.11259e-05,0.00359521
global-offset,321  ,4            ,4   ,20  ,1.16008e-05,0.00344804
global-offset,321  ,5            ,4   ,20  ,1.09793e-05,0.00364322
global-offset,321  ,6            ,4   ,20  ,1.28441e-05,0.00311427
global-offset,321  ,7            ,4   ,20  ,1.05462e-05,0.00379284
global-offset,321  ,8            ,4   ,20  ,9.0585e-06 ,0.00441574
global-offset,321  ,9            ,4   ,20  ,1.13494e-05,0.00352442
global-offset,321  ,10           ,4   ,20  ,1.12167e-05,0.00356611
global-offset,401  ,2            ,5   ,20  ,1.16287e-05,0.00429971
global-offset,401  ,3            ,5   ,20  ,1.12586e-05,0.00444105
global-offset,401  ,4            ,5   ,20  ,7.99e-06   ,0.00625782
global-offset,401  ,5            ,5   ,20  ,1.61127e-05,0.00310314
global-offset,401  ,6            ,5   ,20  ,9.7639e-06 ,0.0051209
global-offset,401  ,7            ,5   ,20  ,7.7735e-06 ,0.00643211
global-offset,401  ,8            ,5   ,20  ,6.677e-06  ,0.00748839
global-offset,401  ,9            ,5   ,20  ,8.1297e-06 ,0.00615029
global-offset,401  ,10           ,5   ,20  ,1.30815e-05,0.00382219
global-offset,801  ,2            ,10  ,20  ,1.11678e-05,0.00895432
global-offset,801  ,3            ,10  ,20  ,1.14193e-05,0.0087571
global-offset,801  ,4            ,10  ,20  ,9.317e-06  ,0.0107331
global-offset,801  ,5            ,10  ,20  ,1.51628e-05,0.00659509
global-offset,801  ,6            ,10  ,20  ,1.10561e-05,0.00904478
global-offset,801  ,7            ,10  ,20  ,6.7678e-06 ,0.0147759
global-offset,801  ,8            ,10  ,20  ,8.6186e-06 ,0.0116028
global-offset,801  ,9            ,10  ,20  ,1.01481e-05,0.00985406
global-offset,801  ,10           ,10  ,20  ,1.14472e-05,0.00873576
global-offset,1601 ,2            ,20  ,20  ,1.09024e-05,0.0183446
global-offset,1601 ,3            ,20  ,20  ,1.13983e-05,0.0175465
global-offset,1601 ,4            ,20  ,20  ,1.32072e-05,0.0151433
global-offset,1601 ,5            ,20  ,20  ,1.13913e-05,0.0175573
global-offset,1601 ,6            ,20  ,20  ,1.01411e-05,0.0197217
global-offset,1601 ,7            ,20  ,20  ,1.27183e-05,0.0157254
global-offset,1601 ,8            ,20  ,20  ,6.8586e-06 ,0.0291605
global-offset,1601 ,9            ,20  ,20  ,1.09932e-05,0.0181931
global-offset,1601 ,10           ,20  ,20  ,1.16916e-05,0.0171063
global-offset,2561 ,2            ,32  ,20  ,1.11469e-05,0.0287075
global-offset,2561 ,3            ,32  ,20  ,1.17265e-05,0.0272886
global-offset,2561 ,4            ,32  ,20  ,7.6966e-06 ,0.0415768
global-offset,2561 ,5            ,32  ,20  ,1.24389e-05,0.0257257
global-offset,2561 ,6            ,32  ,20  ,1.32561e-05,0.0241398
global-offset,2561 ,7            ,32  ,20  ,1.07977e-05,0.0296359
global-offset,2561 ,8            ,32  ,20  ,1.10561e-05,0.0289433
global-offset,2561 ,9            ,32  ,20  ,1.14052e-05,0.0280574
global-offset,2561 ,10           ,32  ,20  ,1.50301e-05,0.0212906
global-offset,121  ,2            ,1   ,30  ,1.12865e-05,0.00132902
global-offset,121  ,3            ,1   ,30  ,1.0616e-05 ,0.00141296
global-offset,121  ,4            ,1   ,30  ,1.07558e-05,0.0013946
global-offset,121  ,5            ,1   ,30  ,1.14821e-05,0.00130638
global-offset,121  ,6            ,1   ,30  ,1.44923e-05,0.00103503
global-offset,121  ,7            ,1   ,30  ,1.0651e-05 ,0.00140832
global-offset,121  ,8            ,1   ,30  ,1.107e-05  ,0.00135501
global-offset,121  ,9            ,1   ,30  ,7.8014e-06 ,0.00192273
global-offset,121  ,10           ,1   ,30  ,1.00713e-05,0.00148938
global-offset,241  ,2            ,2   ,30  ,1.14332e-05,0.00262394
global-offset,241  ,3            ,2   ,30  ,1.07558e-05,0.00278919
global-offset,241  ,4            ,2   ,30  ,1.09304e-05,0.00274464
global-offset,241  ,5            ,2   ,30  ,1.151e-05  ,0.00260643
global-offset,241  ,6            ,2   ,30  ,7.4382e-06 ,0.00403323
global-offset,241  ,7            ,2   ,30  ,1.0637e-05 ,0.00282034
global-offset,241  ,8            ,2   ,30  ,1.14402e-05,0.00262233
global-offset,241  ,9            ,2   ,30  ,1.09792e-05,0.00273244
global-offset,241  ,10           ,2   ,30  ,1.14192e-05,0.00262715
global-offset,361  ,2            ,3   ,30  ,1.15869e-05,0.0038837
global-offset,361  ,3            ,3   ,30  ,1.11398e-05,0.00403957
global-offset,361  ,4            ,3   ,30  ,1.04554e-05,0.004304
global-offset,361  ,5            ,3   ,30  ,1.09932e-05,0.00409344
global-offset,361  ,6            ,3   ,30  ,1.12655e-05,0.0039945
global-offset,361  ,7            ,3   ,30  ,1.08885e-05,0.0041328
global-offset,361  ,8            ,3   ,30  ,1.09862e-05,0.00409605
global-offset,361  ,9            ,3   ,30  ,1.05392e-05,0.00426977
global-offset,361  ,10           ,3   ,30  ,1.02389e-05,0.004395
global-offset,481  ,2            ,4   ,30  ,1.13913e-05,0.00526718
global-offset,481  ,3            ,4   ,30  ,1.12586e-05,0.00532926
global-offset,481  ,4            ,4   ,30  ,1.30745e-05,0.00458909
global-offset,481  ,5            ,4   ,30  ,1.16078e-05,0.00516894
global-offset,481  ,6            ,4   ,30  ,1.11119e-05,0.00539962
global-offset,481  ,7            ,4   ,30  ,1.24878e-05,0.00480469
global-offset,481  ,8            ,4   ,30  ,1.07697e-05,0.00557119
global-offset,481  ,9            ,4   ,30  ,1.05531e-05,0.00568553
global-offset,481  ,10           ,4   ,30  ,1.12097e-05,0.00535251
global-offset,601  ,2            ,5   ,30  ,1.10072e-05,0.00681372
global-offset,601  ,3            ,5   ,30  ,1.42548e-05,0.00526139
global-offset,601  ,4            ,5   ,30  ,1.03157e-05,0.00727047
global-offset,601  ,5            ,5   ,30  ,1.33818e-05,0.00560463
global-offset,601  ,6            ,5   ,30  ,1.13006e-05,0.00663682
global-offset,601  ,7            ,5   ,30  ,1.14541e-05,0.00654787
global-offset,601  ,8            ,5   ,30  ,1.13983e-05,0.00657993
global-offset,601  ,9            ,5   ,30  ,7.6897e-06 ,0.00975331
global-offset,601  ,10           ,5   ,30  ,1.33748e-05,0.00560756
global-offset,1201 ,2            ,10  ,30  ,6.5722e-06 ,0.0228234
global-offset,1201 ,3            ,10  ,30  ,1.13284e-05,0.0132411
global-offset,1201 ,4            ,10  ,30  ,1.14961e-05,0.0130479
global-offset,1201 ,5            ,10  ,30  ,1.13145e-05,0.0132573
global-offset,1201 ,6            ,10  ,30  ,8.3741e-06 ,0.0179124
global-offset,1201 ,7            ,10  ,30  ,1.09513e-05,0.013697
global-offset,1201 ,8            ,10  ,30  ,1.12236e-05,0.0133647
global-offset,1201 ,9            ,10  ,30  ,1.14332e-05,0.0131197
global-offset,1201 ,10           ,10  ,30  ,1.11119e-05,0.013499
global-offset,2401 ,2            ,20  ,30  ,1.10211e-05,0.0272205
global-offset,2401 ,3            ,20  ,30  ,6.5722e-06 ,0.0456468
global-offset,2401 ,4            ,20  ,30  ,1.13493e-05,0.0264333
global-offset,2401 ,5            ,20  ,30  ,1.2879e-05 ,0.0232937
global-offset,2401 ,6            ,20  ,30  ,1.11468e-05,0.0269136
global-offset,2401 ,7            ,20  ,30  ,1.12796e-05,0.0265967
global-offset,2401 ,8            ,20  ,30  ,8.2134e-06 ,0.0365257
global-offset,2401 ,9            ,20  ,30  ,1.08395e-05,0.0276766
global-offset,2401 ,10           ,20  ,30  ,1.09932e-05,0.0272896
global-offset,3841 ,2            ,32  ,30  ,8.2972e-06 ,0.0578508
global-offset,3841 ,3            ,32  ,30  ,1.09024e-05,0.044027
global-offset,3841 ,4            ,32  ,30  ,1.26973e-05,0.0378033
global-offset,3841 ,5            ,32  ,30  ,1.14891e-05,0.0417787
global-offset,3841 ,6            ,32  ,30  ,1.0658e-05 ,0.0450366
global-offset,3841 ,7            ,32  ,30  ,1.11957e-05,0.0428736
global-offset,3841 ,8            ,32  ,30  ,7.1309e-06 ,0.0673127
global-offset,3841 ,9            ,32  ,30  ,1.15799e-05,0.0414511
global-offset,3841 ,10           ,32  ,30  ,1.03437e-05,0.0464051
global-offset,201  ,2            ,1   ,50  ,1.30605e-05,0.00191417
global-offset,201  ,3            ,1   ,50  ,1.22714e-05,0.00203726
global-offset,201  ,4            ,1   ,50  ,1.26066e-05,0.00198309
global-offset,201  ,5            ,1   ,50  ,6.6629e-06 ,0.00375212
global-offset,201  ,6            ,1   ,50  ,1.13983e-05,0.00219331
global-offset,201  ,7            ,1   ,50  ,1.13145e-05,0.00220955
global-offset,201  ,8            ,1   ,50  ,1.13355e-05,0.00220546
global-offset,201  ,9            ,1   ,50  ,1.1098e-05 ,0.00225266
global-offset,201  ,10           ,1   ,50  ,1.09932e-05,0.00227413
global-offset,401  ,2            ,2   ,50  ,1.09792e-05,0.00455407
global-offset,401  ,3            ,2   ,50  ,1.09164e-05,0.00458026
global-offset,401  ,4            ,2   ,50  ,9.4706e-06 ,0.0052795
global-offset,401  ,5            ,2   ,50  ,7.983e-06  ,0.00626331
global-offset,401  ,6            ,2   ,50  ,1.05951e-05,0.00471916
global-offset,401  ,7            ,2   ,50  ,1.5505e-05 ,0.00322477
global-offset,401  ,8            ,2   ,50  ,1.18592e-05,0.00421614
global-offset,401  ,9            ,2   ,50  ,1.17685e-05,0.00424863
global-offset,401  ,10           ,2   ,50  ,1.13913e-05,0.00438931
global-offset,601  ,2            ,3   ,50  ,1.36682e-05,0.00548719
global-offset,601  ,3            ,3   ,50  ,1.12237e-05,0.00668229
global-offset,601  ,4            ,3   ,50  ,1.53584e-05,0.00488332
global-offset,601  ,5            ,3   ,50  ,1.55609e-05,0.00481977
global-offset,601  ,6            ,3   ,50  ,1.14541e-05,0.00654787
global-offset,601  ,7            ,3   ,50  ,8.9678e-06 ,0.00836326
global-offset,601  ,8            ,3   ,50  ,1.39056e-05,0.00539351
global-offset,601  ,9            ,3   ,50  ,1.19361e-05,0.00628346
global-offset,601  ,10           ,3   ,50  ,1.11957e-05,0.006699
global-offset,801  ,2            ,4   ,50  ,1.05113e-05,0.00951357
global-offset,801  ,3            ,4   ,50  ,9.5335e-06 ,0.0104893
global-offset,801  ,4            ,4   ,50  ,1.1517e-05 ,0.00868282
global-offset,801  ,5            ,4   ,50  ,1.57635e-05,0.00634377
global-offset,801  ,6            ,4   ,50  ,1.27602e-05,0.00783687
global-offset,801  ,7            ,4   ,50  ,1.19012e-05,0.00840251
global-offset,801  ,8            ,4   ,50  ,1.11468e-05,0.00897118
global-offset,801  ,9            ,4   ,50  ,1.06509e-05,0.00938888
global-offset,801  ,10           ,4   ,50  ,1.12935e-05,0.00885465
global-offset,1001 ,2            ,5   ,50  ,1.1091e-05 ,0.0112704
global-offset,1001 ,3            ,5   ,50  ,1.5072e-05 ,0.00829352
global-offset,1001 ,4            ,5   ,50  ,1.17126e-05,0.0106723
global-offset,1001 ,5            ,5   ,50  ,9.6452e-06 ,0.0129598
global-offset,1001 ,6            ,5   ,50  ,1.53793e-05,0.00812781
global-offset,1001 ,7            ,5   ,50  ,1.12935e-05,0.0110683
global-offset,1001 ,8            ,5   ,50  ,6.4884e-06 ,0.0192652
global-offset,1001 ,9            ,5   ,50  ,1.14402e-05,0.0109264
global-offset,1001 ,10           ,5   ,50  ,1.16288e-05,0.0107492
global-offset,2001 ,2            ,10  ,50  ,1.11329e-05,0.022456
global-offset,2001 ,3            ,10  ,50  ,1.15101e-05,0.0217201
global-offset,2001 ,4            ,10  ,50  ,8.3392e-06 ,0.0299789
global-offset,2001 ,5            ,10  ,50  ,1.20129e-05,0.020811
global-offset,2001 ,6            ,10  ,50  ,1.12447e-05,0.0222327
global-offset,2001 ,7            ,10  ,50  ,1.21805e-05,0.0205246
global-offset,2001 ,8            ,10  ,50  ,1.15101e-05,0.0217201
global-offset,2001 ,9            ,10  ,50  ,7.962e-06  ,0.0313991
global-offset,2001 ,10           ,10  ,50  ,1.2411e-05 ,0.0201434
global-offset,4001 ,2            ,20  ,50  ,1.00852e-05,0.0495776
global-offset,4001 ,3            ,20  ,50  ,9.9176e-06 ,0.0504154
global-offset,4001 ,4            ,20  ,50  ,1.107e-05  ,0.0451671
global-offset,4001 ,5            ,20  ,50  ,1.27043e-05,0.0393568
global-offset,4001 ,6            ,20  ,50  ,1.13844e-05,0.0439197
global-offset,4001 ,7            ,20  ,50  ,1.14751e-05,0.0435726
global-offset,4001 ,8            ,20  ,50  ,1.1978e-05 ,0.0417432
global-offset,4001 ,9            ,20  ,50  ,1.14263e-05,0.0437587
global-offset,4001 ,10           ,20  ,50  ,1.27952e-05,0.0390772
global-offset,6401 ,2            ,32  ,50  ,1.14542e-05,0.0698434
global-offset,6401 ,3            ,32  ,50  ,1.07557e-05,0.0743792
global-offset,6401 ,4            ,32  ,50  ,1.09443e-05,0.0730974
global-offset,6401 ,5            ,32  ,50  ,1.3752e-05 ,0.0581734
global-offset,6401 ,6            ,32  ,50  ,1.05113e-05,0.0761086
global-offset,6401 ,7            ,32  ,50  ,8.4928e-06 ,0.0941974
global-offset,6401 ,8            ,32  ,50  ,1.72232e-05,0.046449
global-offset,6401 ,9            ,32  ,50  ,1.02669e-05,0.0779203
global-offset,6401 ,10           ,32  ,50  ,6.635e-06  ,0.120573
global-offset,401  ,2            ,1   ,100 ,9.9805e-06 ,0.00500977
global-offset,401  ,3            ,1   ,100 ,1.09303e-05,0.00457444
global-offset,401  ,4            ,1   ,100 ,1.22294e-05,0.00408851
global-offset,401  ,5            ,1   ,100 ,1.11468e-05,0.00448559
global-offset,401  ,6            ,1   ,100 ,1.25786e-05,0.00397501
global-offset,401  ,7            ,1   ,100 ,1.2851e-05 ,0.00389075
global-offset,401  ,8            ,1   ,100 ,1.27113e-05,0.00393351
global-offset,401  ,9            ,1   ,100 ,1.15729e-05,0.00432044
global-offset,401  ,10           ,1   ,100 ,7.5988e-06 ,0.00657999
global-offset,801  ,2            ,2   ,100 ,1.12865e-05,0.00886014
global-offset,801  ,3            ,2   ,100 ,1.07837e-05,0.00927326
global-offset,801  ,4            ,2   ,100 ,1.26484e-05,0.00790614
global-offset,801  ,5            ,2   ,100 ,1.05043e-05,0.00951991
global-offset,801  ,6            ,2   ,100 ,8.4719e-06 ,0.0118037
global-offset,801  ,7            ,2   ,100 ,9.5195e-06 ,0.0105048
global-offset,801  ,8            ,2   ,100 ,1.15589e-05,0.00865134
global-offset,801  ,9            ,2   ,100 ,8.5487e-06 ,0.0116977
global-offset,801  ,10           ,2   ,100 ,1.12656e-05,0.00887658
global-offset,1201 ,2            ,3   ,100 ,1.08815e-05,0.0137849
global-offset,1201 ,3            ,3   ,100 ,1.1084e-05 ,0.013533
global-offset,1201 ,4            ,3   ,100 ,1.13983e-05,0.0131599
global-offset,1201 ,5            ,3   ,100 ,1.20757e-05,0.0124216
global-offset,1201 ,6            ,3   ,100 ,1.13564e-05,0.0132084
global-offset,1201 ,7            ,3   ,100 ,1.37799e-05,0.0108854
global-offset,1201 ,8            ,3   ,100 ,1.30955e-05,0.0114543
global-offset,1201 ,9            ,3   ,100 ,8.6675e-06 ,0.017306
global-offset,1201 ,10           ,3   ,100 ,1.06929e-05,0.014028
global-offset,1601 ,2            ,4   ,100 ,1.13913e-05,0.0175573
global-offset,1601 ,3            ,4   ,100 ,1.11329e-05,0.0179648
global-offset,1601 ,4            ,4   ,100 ,1.11469e-05,0.0179422
global-offset,1601 ,5            ,4   ,100 ,1.14751e-05,0.017429
global-offset,1601 ,6            ,4   ,100 ,1.44015e-05,0.0138874
global-offset,1601 ,7            ,4   ,100 ,1.08535e-05,0.0184272
global-offset,1601 ,8            ,4   ,100 ,1.12586e-05,0.0177642
global-offset,1601 ,9            ,4   ,100 ,1.53095e-05,0.0130638
global-offset,1601 ,10           ,4   ,100 ,1.1077e-05 ,0.0180554
global-offset,2001 ,2            ,5   ,100 ,6.7258e-06 ,0.0371703
global-offset,2001 ,3            ,5   ,100 ,7.571e-06  ,0.0330207
global-offset,2001 ,4            ,5   ,100 ,1.15101e-05,0.0217201
global-offset,2001 ,5            ,5   ,100 ,1.19011e-05,0.0210065
global-offset,2001 ,6            ,5   ,100 ,1.12167e-05,0.0222882
global-offset,2001 ,7            ,5   ,100 ,1.14262e-05,0.0218795
global-offset,2001 ,8            ,5   ,100 ,1.26136e-05,0.0198199
global-offset,2001 ,9            ,5   ,100 ,1.09932e-05,0.0227413
global-offset,2001 ,10           ,5   ,100 ,1.17545e-05,0.0212685
global-offset,4001 ,2            ,10  ,100 ,1.1552e-05 ,0.0432825
global-offset,4001 ,3            ,10  ,100 ,1.5044e-05 ,0.0332358
global-offset,4001 ,4            ,10  ,100 ,1.10421e-05,0.0452812
global-offset,4001 ,5            ,10  ,100 ,9.0306e-06 ,0.0553673
global-offset,4001 ,6            ,10  ,100 ,1.27462e-05,0.0392274
global-offset,4001 ,7            ,10  ,100 ,1.51209e-05,0.0330668
global-offset,4001 ,8            ,10  ,100 ,1.13704e-05,0.0439738
global-offset,4001 ,9            ,10  ,100 ,1.10491e-05,0.0452526
global-offset,4001 ,10           ,10  ,100 ,1.05392e-05,0.0474419
global-offset,8001 ,2            ,20  ,100 ,1.08814e-05,0.0918999
global-offset,8001 ,3            ,20  ,100 ,1.27393e-05,0.0784972
global-offset,8001 ,4            ,20  ,100 ,1.16218e-05,0.0860452
global-offset,8001 ,5            ,20  ,100 ,1.29977e-05,0.0769367
global-offset,8001 ,6            ,20  ,100 ,1.05113e-05,0.0951357
global-offset,8001 ,7            ,20  ,100 ,1.07278e-05,0.0932158
global-offset,8001 ,8            ,20  ,100 ,1.25996e-05,0.0793676
global-offset,8001 ,9            ,20  ,100 ,1.05252e-05,0.0950101
global-offset,8001 ,10           ,20  ,100 ,1.22364e-05,0.0817234
global-offset,12801,2            ,32  ,100 ,1.09793e-05,0.145729
global-offset,12801,3            ,32  ,100 ,1.27323e-05,0.125665
global-offset,12801,4            ,32  ,100 ,1.11469e-05,0.143538
global-offset,12801,5            ,32  ,100 ,7.8573e-06 ,0.203632
global-offset,12801,6            ,32  ,100 ,1.151e-05  ,0.13901
global-offset,12801,7            ,32  ,100 ,1.03297e-05,0.154893
global-offset,12801,8            ,32  ,100 ,1.01202e-05,0.1581
global-offset,12801,9            ,32  ,100 ,1.11817e-05,0.143091
global-offset,12801,10           ,32  ,100 ,1.11957e-05,0.142912
global-offset,801  ,2            ,1   ,200 ,8.3322e-06 ,0.0120016
global-offset,801  ,3            ,1   ,200 ,1.05183e-05,0.00950724
global-offset,801  ,4            ,1   ,200 ,7.7525e-06 ,0.0128991
global-offset,801  ,5            ,1   ,200 ,1.1098e-05 ,0.00901063
global-offset,801  ,6            ,1   ,200 ,1.03716e-05,0.00964171
global-offset,801  ,7            ,1   ,200 ,1.15729e-05,0.00864088
global-offset,801  ,8            ,1   ,200 ,1.00992e-05,0.00990177
global-offset,801  ,9            ,1   ,200 ,8.2344e-06 ,0.0121442
global-offset,801  ,10           ,1   ,200 ,1.02669e-05,0.00974004
global-offset,1601 ,2            ,2   ,200 ,8.4021e-06 ,0.0238036
global-offset,1601 ,3            ,2   ,200 ,7.8712e-06 ,0.0254091
global-offset,1601 ,4            ,2   ,200 ,1.14192e-05,0.0175144
global-offset,1601 ,5            ,2   ,200 ,1.12306e-05,0.0178085
global-offset,1601 ,6            ,2   ,200 ,1.14332e-05,0.0174929
global-offset,1601 ,7            ,2   ,200 ,1.09303e-05,0.0182978
global-offset,1601 ,8            ,2   ,200 ,1.03856e-05,0.0192574
global-offset,1601 ,9            ,2   ,200 ,1.20059e-05,0.0166585
global-offset,1601 ,10           ,2   ,200 ,9.9875e-06 ,0.020025
global-offset,2401 ,2            ,3   ,200 ,1.12027e-05,0.0267793
global-offset,2401 ,3            ,3   ,200 ,9.9246e-06 ,0.0302279
global-offset,2401 ,4            ,3   ,200 ,1.12237e-05,0.0267292
global-offset,2401 ,5            ,3   ,200 ,7.983e-06  ,0.0375799
global-offset,2401 ,6            ,3   ,200 ,1.07278e-05,0.0279647
global-offset,2401 ,7            ,3   ,200 ,1.51977e-05,0.0197398
global-offset,2401 ,8            ,3   ,200 ,1.78308e-05,0.0168248
global-offset,2401 ,9            ,3   ,200 ,1.21735e-05,0.0246437
global-offset,2401 ,10           ,3   ,200 ,9.6173e-06 ,0.0311938
global-offset,3201 ,2            ,4   ,200 ,1.43526e-05,0.0278695
global-offset,3201 ,3            ,4   ,200 ,1.05601e-05,0.0378784
global-offset,3201 ,4            ,4   ,200 ,1.0672e-05 ,0.0374813
global-offset,3201 ,5            ,4   ,200 ,1.30954e-05,0.0305451
global-offset,3201 ,6            ,4   ,200 ,1.01062e-05,0.0395797
global-offset,3201 ,7            ,4   ,200 ,1.15799e-05,0.0345426
global-offset,3201 ,8            ,4   ,200 ,1.1063e-05 ,0.0361566
global-offset,3201 ,9            ,4   ,200 ,1.29279e-05,0.0309408
global-offset,3201 ,10           ,4   ,200 ,1.05951e-05,0.0377533
global-offset,4001 ,2            ,5   ,200 ,8.1087e-06 ,0.0616622
global-offset,4001 ,3            ,5   ,200 ,1.05951e-05,0.0471916
global-offset,4001 ,4            ,5   ,200 ,1.09094e-05,0.045832
global-offset,4001 ,5            ,5   ,200 ,1.27532e-05,0.0392058
global-offset,4001 ,6            ,5   ,200 ,1.13285e-05,0.0441365
global-offset,4001 ,7            ,5   ,200 ,1.1559e-05 ,0.0432563
global-offset,4001 ,8            ,5   ,200 ,1.1503e-05 ,0.0434669
global-offset,4001 ,9            ,5   ,200 ,1.14542e-05,0.0436521
global-offset,4001 ,10           ,5   ,200 ,1.1105e-05 ,0.0450248
global-offset,8001 ,2            ,10  ,200 ,1.17196e-05,0.0853271
global-offset,8001 ,3            ,10  ,200 ,1.11679e-05,0.0895423
global-offset,8001 ,4            ,10  ,200 ,1.12027e-05,0.0892642
global-offset,8001 ,5            ,10  ,200 ,1.01621e-05,0.0984049
global-offset,8001 ,6            ,10  ,200 ,1.21875e-05,0.0820513
global-offset,8001 ,7            ,10  ,200 ,8.5696e-06 ,0.116692
global-offset,8001 ,8            ,10  ,200 ,1.16567e-05,0.0857876
global-offset,8001 ,9            ,10  ,200 ,8.4649e-06 ,0.118135
global-offset,8001 ,10           ,10  ,200 ,1.1056e-05 ,0.0904486
global-offset,16001,2            ,20  ,200 ,1.09094e-05,0.183328
global-offset,16001,3            ,20  ,200 ,1.17406e-05,0.170349
global-offset,16001,4            ,20  ,200 ,1.0176e-05 ,0.196541
global-offset,16001,5            ,20  ,200 ,8.884e-06  ,0.225124
global-offset,16001,6            ,20  ,200 ,1.08605e-05,0.184154
global-offset,16001,7            ,20  ,200 ,1.29837e-05,0.154039
global-offset,16001,8            ,20  ,200 ,1.16637e-05,0.171472
global-offset,16001,9            ,20  ,200 ,1.32352e-05,0.151112
global-offset,16001,10           ,20  ,200 ,1.06928e-05,0.187042
global-offset,25601,2            ,32  ,200 ,1.13773e-05,0.281262
global-offset,25601,3            ,32  ,200 ,8.6534e-06 ,0.369797
global-offset,25601,4            ,32  ,200 ,7.9061e-06 ,0.404751
global-offset,25601,5            ,32  ,200 ,1.05672e-05,0.302824
global-offset,25601,6            ,32  ,200 ,1.10211e-05,0.290352
global-offset,25601,7            ,32  ,200 ,1.10002e-05,0.290904
global-offset,25601,8            ,32  ,200 ,1.1552e-05 ,0.277008
global-offset,25601,9            ,32  ,200 ,8.9608e-06 ,0.357111
global-offset,25601,10           ,32  ,200 ,9.6732e-06 ,0.330811
global-offset,2001 ,2            ,1   ,500 ,1.16357e-05,0.0214856
global-offset,2001 ,3            ,1   ,500 ,1.1552e-05 ,0.0216413
global-offset,2001 ,4            ,1   ,500 ,1.18453e-05,0.0211054
global-offset,2001 ,5            ,1   ,500 ,1.12796e-05,0.0221639
global-offset,2001 ,6            ,1   ,500 ,1.09093e-05,0.0229162
global-offset,2001 ,7            ,1   ,500 ,1.22294e-05,0.0204425
global-offset,2001 ,8            ,1   ,500 ,1.10909e-05,0.022541
global-offset,2001 ,9            ,1   ,500 ,1.10072e-05,0.0227124
global-offset,2001 ,10           ,1   ,500 ,1.13354e-05,0.0220548
global-offset,4001 ,2            ,2   ,500 ,1.49812e-05,0.0333752
global-offset,4001 ,3            ,2   ,500 ,1.12377e-05,0.0444931
global-offset,4001 ,4            ,2   ,500 ,1.07627e-05,0.0464567
global-offset,4001 ,5            ,2   ,500 ,1.20059e-05,0.0416462
global-offset,4001 ,6            ,2   ,500 ,6.5792e-06 ,0.0759971
global-offset,4001 ,7            ,2   ,500 ,1.05811e-05,0.0472541
global-offset,4001 ,8            ,2   ,500 ,1.1552e-05 ,0.0432825
global-offset,4001 ,9            ,2   ,500 ,1.09513e-05,0.0456567
global-offset,4001 ,10           ,2   ,500 ,1.14681e-05,0.0435992
global-offset,6001 ,2            ,3   ,500 ,1.14053e-05,0.0657589
global-offset,6001 ,3            ,3   ,500 ,1.29278e-05,0.0580145
global-offset,6001 ,4            ,3   ,500 ,1.14053e-05,0.0657589
global-offset,6001 ,5            ,3   ,500 ,1.1084e-05 ,0.0676651
global-offset,6001 ,6            ,3   ,500 ,9.9595e-06 ,0.075305
global-offset,6001 ,7            ,3   ,500 ,1.09932e-05,0.068224
global-offset,6001 ,8            ,3   ,500 ,1.38148e-05,0.0542896
global-offset,6001 ,9            ,3   ,500 ,1.1545e-05 ,0.0649632
global-offset,6001 ,10           ,3   ,500 ,1.1531e-05 ,0.0650421
global-offset,8001 ,2            ,4   ,500 ,1.12796e-05,0.0886556
global-offset,8001 ,3            ,4   ,500 ,1.3284e-05 ,0.0752785
global-offset,8001 ,4            ,4   ,500 ,1.07069e-05,0.0933977
global-offset,8001 ,5            ,4   ,500 ,1.15589e-05,0.0865134
global-offset,8001 ,6            ,4   ,500 ,1.06999e-05,0.0934588
global-offset,8001 ,7            ,4   ,500 ,8.5068e-06 ,0.117553
global-offset,8001 ,8            ,4   ,500 ,1.17964e-05,0.0847716
global-offset,8001 ,9            ,4   ,500 ,8.0877e-06 ,0.123645
global-offset,8001 ,10           ,4   ,500 ,1.26485e-05,0.0790608
global-offset,10001,2            ,5   ,500 ,1.07208e-05,0.116596
global-offset,10001,3            ,5   ,500 ,6.9913e-06 ,0.178794
global-offset,10001,4            ,5   ,500 ,9.75e-06   ,0.128205
global-offset,10001,5            ,5   ,500 ,1.12027e-05,0.11158
global-offset,10001,6            ,5   ,500 ,1.11539e-05,0.112068
global-offset,10001,7            ,5   ,500 ,8.6325e-06 ,0.144802
global-offset,10001,8            ,5   ,500 ,1.12097e-05,0.111511
global-offset,10001,9            ,5   ,500 ,7.9551e-06 ,0.157132
global-offset,10001,10           ,5   ,500 ,1.33958e-05,0.0933128
global-offset,20001,2            ,10  ,500 ,1.14611e-05,0.218129
global-offset,20001,3            ,10  ,500 ,1.10421e-05,0.226406
global-offset,20001,4            ,10  ,500 ,1.11818e-05,0.223578
global-offset,20001,5            ,10  ,500 ,1.23272e-05,0.202804
global-offset,20001,6            ,10  ,500 ,1.14402e-05,0.218528
global-offset,20001,7            ,10  ,500 ,1.05951e-05,0.235958
global-offset,20001,8            ,10  ,500 ,1.09373e-05,0.228576
global-offset,20001,9            ,10  ,500 ,1.0637e-05 ,0.235029
global-offset,20001,10           ,10  ,500 ,1.12307e-05,0.222604
global-offset,40001,2            ,20  ,500 ,1.06789e-05,0.468213
global-offset,40001,3            ,20  ,500 ,1.0197e-05 ,0.49034
