# bytes, threads, direction, time(ns)
12288, 24, g2s, 157283
12288, 24, s2g, 163941
12288, 32, g2s, 155722
12288, 32, s2g, 162488
12288, 48, g2s, 104509
12288, 48, s2g, 111099
12288, 64, g2s, 59273
12288, 64, s2g, 66093
12288, 96, g2s, 53287
12288, 96, s2g, 60118
12288, 128, g2s, 21383
12288, 128, s2g, 27431
12288, 192, g2s, 15628
12288, 192, s2g, 21632
12288, 256, g2s, 7743
12288, 256, s2g, 14121
12288, 384, g2s, 6492
12288, 384, s2g, 12673
12288, 512, g2s, 4758
12288, 512, s2g, 11281
12288, 768, g2s, 5230
12288, 768, s2g, 11290
12288, 1024, g2s, 5385
12288, 1024, s2g, 11358
13312, 1, g2s, 427675
13312, 1, s2g, 434273
13312, 2, g2s, 244541
13312, 2, s2g, 251078
13312, 4, g2s, 203973
13312, 4, s2g, 210204
13312, 8, g2s, 183724
13312, 8, s2g, 190001
13312, 13, g2s, 175932
13312, 13, s2g, 182592
13312, 16, g2s, 131803
13312, 16, s2g, 138057
13312, 26, g2s, 169678
13312, 26, s2g, 176292
13312, 32, g2s, 105449
13312, 32, s2g, 112064
13312, 52, g2s, 104509
13312, 52, s2g, 110944
13312, 64, g2s, 48433
13312, 64, s2g, 54615
13312, 104, g2s, 53341
13312, 104, s2g, 60252
13312, 128, g2s, 20156
13312, 128, s2g, 27149
13312, 208, g2s, 15759
13312, 208, s2g, 22124
13312, 256, g2s, 7576
13312, 256, s2g, 14186
13312, 416, g2s, 6679
13312, 416, s2g, 12794
13312, 832, g2s, 5525
13312, 832, s2g, 11516
14336, 1, g2s, 460428
14336, 1, s2g, 466996
14336, 2, g2s, 263235
14336, 2, s2g, 269584
14336, 4, g2s, 219562
14336, 4, s2g, 225985
14336, 7, g2s, 200841
14336, 7, s2g, 207227
14336, 8, g2s, 197711
14336, 8, s2g, 204326
14336, 14, g2s, 188371
14336, 14, s2g, 194814
14336, 16, g2s, 186805
14336, 16, s2g, 193061
14336, 28, g2s, 182126
14336, 28, s2g, 188473
14336, 32, g2s, 135754
14336, 32, s2g, 142808
14336, 56, g2s, 104508
14336, 56, s2g, 110995
14336, 64, g2s, 57555
14336, 64, s2g, 64222
14336, 112, g2s, 53353
14336, 112, s2g, 60224
14336, 128, g2s, 24241
14336, 128, s2g, 30302
14336, 224, g2s, 15861
14336, 224, s2g, 22695
14336, 256, g2s, 8534
14336, 256, s2g, 15389
14336, 448, g2s, 6781
14336, 448, s2g, 12830
14336, 512, g2s, 5110
14336, 512, s2g, 11349
14336, 896, g2s, 5852
14336, 896, s2g, 12700
15360, 1, g2s, 493155
15360, 1, s2g, 499798
15360, 2, g2s, 281802
15360, 2, s2g, 288295
15360, 3, g2s, 250672
15360, 3, s2g, 257435
15360, 4, g2s, 235078
15360, 4, s2g, 241677
15360, 5, g2s, 225715
15360, 5, s2g, 232138
15360, 6, g2s, 219470
15360, 6, s2g, 225869
15360, 8, g2s, 211678
15360, 8, s2g, 218428
15360, 10, g2s, 206987
15360, 10, s2g, 213458
15360, 12, g2s, 203877
15360, 12, s2g, 210208
15360, 15, g2s, 200756
15360, 15, s2g, 207121
15360, 16, g2s, 151780
15360, 16, s2g, 158174
15360, 20, g2s, 197639
15360, 20, s2g, 204230
15360, 24, g2s, 196096
15360, 24, s2g, 202796
15360, 30, g2s, 194543
15360, 30, s2g, 201275
15360, 32, g2s, 121424
15360, 32, s2g, 127934
15360, 40, g2s, 155739
15360, 40, s2g, 162473
15360, 48, g2s, 97489
15360, 48, s2g, 103596
15360, 60, g2s, 104507
15360, 60, s2g, 111023
15360, 64, g2s, 55660
15360, 64, s2g, 61754
15360, 80, g2s, 59346
15360, 80, s2g, 66067
15360, 96, g2s, 41606
15360, 96, s2g, 47741
15360, 120, g2s, 53380
15360, 120, s2g, 60231
15360, 128, g2s, 25644
15360, 128, s2g, 31519
15360, 160, g2s, 21551
15360, 160, s2g, 28310
15360, 192, g2s, 14656
15360, 192, s2g, 21385
15360, 240, g2s, 15918
15360, 240, s2g, 22776
15360, 256, g2s, 9057
15360, 256, s2g, 15637
15360, 320, g2s, 8017
15360, 320, s2g, 14161
15360, 384, g2s, 6341
15360, 384, s2g, 12685
15360, 480, g2s, 6979
15360, 480, s2g, 12853
15360, 640, g2s, 5337
15360, 640, s2g, 11284
15360, 768, g2s, 5360
15360, 768, s2g, 11273
15360, 960, g2s, 6143
15360, 960, s2g, 12714
16384, 1, g2s, 525896
16384, 1, s2g, 532640
16384, 2, g2s, 300529
16384, 2, s2g, 307024
16384, 4, g2s, 250616
16384, 4, s2g, 257427
16384, 8, g2s, 225644
16384, 8, s2g, 231963
16384, 16, g2s, 213190
16384, 16, s2g, 220017
16384, 32, g2s, 206942
16384, 32, s2g, 213251
16384, 64, g2s, 104504
16384, 64, s2g, 110928
16384, 128, g2s, 53316
16384, 128, s2g, 60206
16384, 256, g2s, 16007
16384, 256, s2g, 22758
16384, 512, g2s, 7091
16384, 512, s2g, 13408
16384, 1024, g2s, 6457
16384, 1024, s2g, 12751
17408, 1, g2s, 558633
17408, 1, s2g, 565224
17408, 2, g2s, 319173
17408, 2, s2g, 325682
17408, 4, g2s, 266093
17408, 4, s2g, 272673
17408, 8, g2s, 239639
17408, 8, s2g, 246010
17408, 16, g2s, 171775
17408, 16, s2g, 178264
17408, 17, g2s, 225608
17408, 17, s2g, 231951
17408, 32, g2s, 137575
17408, 32, s2g, 143849
17408, 34, g2s, 206950
17408, 34, s2g, 213288
17408, 64, g2s, 63330
17408, 64, s2g, 70160
17408, 68, g2s, 104557
17408, 68, s2g, 111080
17408, 128, g2s, 35820
17408, 128, s2g, 42233
17408, 136, g2s, 53659
17408, 136, s2g, 60187
17408, 256, g2s, 12876
17408, 256, s2g, 19313
17408, 272, g2s, 16335
17408, 272, s2g, 22732
17408, 544, g2s, 8541
17408, 544, s2g, 15121
18432, 1, g2s, 591396
18432, 1, s2g, 597998
18432, 2, g2s, 337712
18432, 2, s2g, 344218
18432, 3, g2s, 300434
18432, 3, s2g, 306872
18432, 4, g2s, 281682
18432, 4, s2g, 288101
18432, 6, g2s, 262987
18432, 6, s2g, 269363
18432, 8, g2s, 253613
18432, 8, s2g, 260356
18432, 9, g2s, 250512
18432, 9, s2g, 257102
18432, 12, g2s, 244258
18432, 12, s2g, 250593
18432, 16, g2s, 239599
18432, 16, s2g, 246067
18432, 18, g2s, 238042
18432, 18, s2g, 244539
18432, 24, g2s, 234928
18432, 24, s2g, 241693
18432, 32, g2s, 180687
18432, 32, s2g, 187060
18432, 36, g2s, 206949
18432, 36, s2g, 213242
18432, 48, g2s, 155735
18432, 48, s2g, 162463
18432, 64, g2s, 79061
18432, 64, s2g, 85478
18432, 72, g2s, 104576
18432, 72, s2g, 111133
18432, 96, g2s, 63100
18432, 96, s2g, 69330
18432, 128, g2s, 39872
18432, 128, s2g, 45931
18432, 144, g2s, 53855
18432, 144, s2g, 60322
18432, 192, g2s, 25376
18432, 192, s2g, 31435
18432, 256, g2s, 14689
18432, 256, s2g, 21356
18432, 288, g2s, 19094
18432, 288, s2g, 25657
18432, 384, g2s, 10264
18432, 384, s2g, 16948
18432, 512, g2s, 7546
18432, 512, s2g, 14152
18432, 576, g2s, 9074
18432, 576, s2g, 15635
18432, 768, g2s, 6871
18432, 768, s2g, 12841
19456, 1, g2s, 624116
19456, 1, s2g, 630806
19456, 2, g2s, 356483
19456, 2, s2g, 362956
19456, 4, g2s, 297202
19456, 4, s2g, 303739
19456, 8, g2s, 267566
19456, 8, s2g, 274157
19456, 16, g2s, 191934
19456, 16, s2g, 198457
19456, 19, g2s, 250424
19456, 19, s2g, 257054
19456, 32, g2s, 153667
19456, 32, s2g, 159967
19456, 38, g2s, 206951
19456, 38, s2g, 213327
19456, 64, g2s, 70759
19456, 64, s2g, 77525
19456, 76, g2s, 104589
19456, 76, s2g, 110973
19456, 128, g2s, 39895
19456, 128, s2g, 45980
19456, 152, g2s, 54200
19456, 152, s2g, 60324
19456, 256, g2s, 15786
19456, 256, s2g, 22336
19456, 304, g2s, 19349
19456, 304, s2g, 25686
19456, 608, g2s, 10002
19456, 608, s2g, 16276
20480, 1, g2s, 656874
20480, 1, s2g, 663659
20480, 2, g2s, 375162
20480, 2, s2g, 381606
20480, 4, g2s, 312762
20480, 4, s2g, 319463
20480, 5, g2s, 300274
20480, 5, s2g, 306727
20480, 8, g2s, 281574
20480, 8, s2g, 288003
20480, 10, g2s, 275316
20480, 10, s2g, 281971
20480, 16, g2s, 265973
20480, 16, s2g, 272524
20480, 20, g2s, 262861
20480, 20, s2g, 269209
20480, 32, g2s, 258173
20480, 32, s2g, 264710
20480, 40, g2s, 206956
20480, 40, s2g, 213286
20480, 64, g2s, 102840
20480, 64, s2g, 109260
20480, 80, g2s, 104612
20480, 80, s2g, 111027
20480, 128, g2s, 47732
20480, 128, s2g, 54526
20480, 160, g2s, 59726
20480, 160, s2g, 66101
20480, 256, g2s, 19514
20480, 256, s2g, 25808
20480, 320, g2s, 20495
20480, 320, s2g, 27269
20480, 512, g2s, 9775
20480, 512, s2g, 15826
20480, 640, g2s, 10755
20480, 640, s2g, 16961
20480, 1024, g2s, 7843
20480, 1024, s2g, 14138
21504, 1, g2s, 689617
21504, 1, s2g, 696292
21504, 2, g2s, 393817
21504, 2, s2g, 400304
21504, 3, g2s, 350074
21504, 3, s2g, 356938
21504, 4, g2s, 328296
21504, 4, s2g, 334967
21504, 6, g2s, 306489
21504, 6, s2g, 312977
21504, 7, g2s, 300220
21504, 7, s2g, 306700
21504, 8, g2s, 295564
21504, 8, s2g, 302147
21504, 12, g2s, 284648
21504, 12, s2g, 291137
21504, 14, g2s, 281520
21504, 14, s2g, 287936
21504, 16, g2s, 230168
21504, 16, s2g, 236766
21504, 21, g2s, 275291
21504, 21, s2g, 281928
21504, 24, g2s, 273735
21504, 24, s2g, 280486
21504, 28, g2s, 272177
21504, 28, s2g, 278865
21504, 32, g2s, 180068
21504, 32, s2g, 186867
21504, 42, g2s, 206960
21504, 42, s2g, 213450
21504, 48, g2s, 138138
21504, 48, s2g, 144863
21504, 56, g2s, 155743
21504, 56, s2g, 162398
21504, 64, g2s, 82905
21504, 64, s2g, 89249
21504, 84, g2s, 104661
21504, 84, s2g, 110923
21504, 96, g2s, 64807
21504, 96, s2g, 71348
21504, 112, g2s, 63610
21504, 112, s2g, 70193
21504, 128, g2s, 44191
21504, 128, s2g, 50325
21504, 168, g2s, 60003
21504, 168, s2g, 66304
21504, 192, g2s, 30141
21504, 192, s2g, 36638
21504, 224, g2s, 27252
21504, 224, s2g, 33598
21504, 256, g2s, 20105
21504, 256, s2g, 26493
21504, 336, g2s, 21326
21504, 336, s2g, 27526
21504, 384, g2s, 13121
21504, 384, s2g, 19709
21504, 448, g2s, 13160
21504, 448, s2g, 19835
21504, 672, g2s, 11695
21504, 672, s2g, 18367
21504, 768, g2s, 8737
21504, 768, s2g, 15509
21504, 896, g2s, 8958
21504, 896, s2g, 15621
22528, 1, g2s, 722349
22528, 1, s2g, 729000
22528, 2, g2s, 412447
22528, 2, s2g, 419035
22528, 4, g2s, 343813
22528, 4, s2g, 350271
22528, 8, g2s, 309501
22528, 8, s2g, 316124
22528, 11, g2s, 300169
22528, 11, s2g, 306702
22528, 16, g2s, 292380
22528, 16, s2g, 299149
22528, 22, g2s, 287676
22528, 22, s2g, 294124
22528, 32, g2s, 212411
22528, 32, s2g, 218811
22528, 44, g2s, 206958
22528, 44, s2g, 213338
22528, 64, g2s, 89938
22528, 64, s2g, 96294
22528, 88, g2s, 104657
22528, 88, s2g, 110930
22528, 128, g2s, 47342
22528, 128, s2g, 53742
22528, 176, g2s, 60170
22528, 176, s2g, 66369
22528, 256, g2s, 22627
22528, 256, s2g, 28903
22528, 352, g2s, 23191
22528, 352, s2g, 29905
22528, 512, g2s, 11805
22528, 512, s2g, 18438
22528, 704, g2s, 12331
22528, 704, s2g, 18480
23552, 1, g2s, 755092
23552, 1, s2g, 761863
23552, 2, g2s, 431007
23552, 2, s2g, 437517
23552, 4, g2s, 359367
23552, 4, s2g, 365896
23552, 8, g2s, 323489
23552, 8, s2g, 329978
23552, 16, g2s, 231915
23552, 16, s2g, 238633
23552, 23, g2s, 300117
23552, 23, s2g, 306517
23552, 32, g2s, 185784
23552, 32, s2g, 192578
23552, 46, g2s, 206960
23552, 46, s2g, 213340
23552, 64, g2s, 92055
23552, 64, s2g, 98507
23552, 92, g2s, 104667
23552, 92, s2g, 110991
23552, 128, g2s, 46630
23552, 128, s2g, 53068
23552, 184, g2s, 60514
23552, 184, s2g, 67211
23552, 256, g2s, 23838
23552, 256, s2g, 30144
23552, 368, g2s, 23876
23552, 368, s2g, 30019
23552, 736, g2s, 13086
23552, 736, s2g, 19873
24576, 1, g2s, 787841
24576, 1, s2g, 794679
24576, 2, g2s, 449792
24576, 2, s2g, 456464
24576, 3, g2s, 399878
24576, 3, s2g, 406403
24576, 4, g2s, 374924
24576, 4, s2g, 381567
24576, 6, g2s, 349962
24576, 6, s2g, 356777
24576, 8, g2s, 337478
24576, 8, s2g, 344064
24576, 12, g2s, 325018
24576, 12, s2g, 331567
24576, 16, g2s, 318776
24576, 16, s2g, 325294
24576, 24, g2s, 312547
24576, 24, s2g, 319300
24576, 32, g2s, 309426
24576, 32, s2g, 315843
24576, 48, g2s, 206957
24576, 48, s2g, 213317
24576, 64, g2s, 155738
24576, 64, s2g, 162490
24576, 96, g2s, 104526
24576, 96, s2g, 110974
24576, 128, g2s, 66645
24576, 128, s2g, 73200
24576, 192, g2s, 63412
24576, 192, s2g, 69810
24576, 256, g2s, 31245
24576, 256, s2g, 37519
24576, 384, g2s, 25249
24576, 384, s2g, 31429
24576, 512, g2s, 15613
24576, 512, s2g, 21766
24576, 768, g2s, 13690
24576, 768, s2g, 19884
24576, 1024, g2s, 10562
24576, 1024, s2g, 16983
25600, 1, g2s, 820567
25600, 1, s2g, 827226
25600, 2, g2s, 468407
25600, 2, s2g, 475104
25600, 4, g2s, 390443
25600, 4, s2g, 397170
25600, 5, g2s, 374849
25600, 5, s2g, 381526
25600, 8, g2s, 351446
25600, 8, s2g, 358118
25600, 10, g2s, 343649
25600, 10, s2g, 350098
25600, 16, g2s, 251899
25600, 16, s2g, 258561
25600, 20, g2s, 328041
25600, 20, s2g, 334579
25600, 25, g2s, 324934
25600, 25, s2g, 331411
25600, 32, g2s, 201744
25600, 32, s2g, 208543
25600, 40, g2s, 258290
25600, 40, s2g, 264730
25600, 50, g2s, 206957
25600, 50, s2g, 213331
25600, 64, g2s, 92588
25600, 64, s2g, 99122
25600, 80, g2s, 104322
25600, 80, s2g, 111036
25600, 100, g2s, 104591
25600, 100, s2g, 110962
25600, 128, g2s, 51235
25600, 128, s2g, 57343
25600, 160, g2s, 49443
25600, 160, s2g, 55895
25600, 200, g2s, 64425
25600, 200, s2g, 70852
25600, 256, g2s, 28926
25600, 256, s2g, 35370
25600, 320, g2s, 25073
25600, 320, s2g, 31432
25600, 400, g2s, 26011
25600, 400, s2g, 32707
25600, 640, g2s, 13342
25600, 640, s2g, 19918
25600, 800, g2s, 14448
25600, 800, s2g, 21160
26624, 1, g2s, 853307
26624, 1, s2g, 860042
26624, 2, g2s, 487102
26624, 2, s2g, 493691
26624, 4, g2s, 405976
26624, 4, s2g, 412587
26624, 8, g2s, 365406
26624, 8, s2g, 371955
26624, 13, g2s, 349821
26624, 13, s2g, 356527
26624, 16, g2s, 345133
26624, 16, s2g, 351675
26624, 26, g2s, 337364
26624, 26, s2g, 343979
26624, 32, g2s, 268973
26624, 32, s2g, 275406
26624, 52, g2s, 206959
26624, 52, s2g, 213356
26624, 64, g2s, 118267
26624, 64, s2g, 124999
26624, 104, g2s, 104696
26624, 104, s2g, 111123
26624, 128, g2s, 56571
26624, 128, s2g, 63171
26624, 208, g2s, 65882
26624, 208, s2g, 72231
26624, 256, g2s, 32189
26624, 256, s2g, 38618
26624, 416, g2s, 27347
26624, 416, s2g, 33898
26624, 512, g2s, 16629
26624, 512, s2g, 22793
26624, 832, g2s, 15018
26624, 832, s2g, 21371
27648, 1, g2s, 886060
27648, 1, s2g, 892870
27648, 2, g2s, 505742
27648, 2, s2g, 512424
27648, 3, g2s, 449536
27648, 3, s2g, 456165
27648, 4, g2s, 421544
27648, 4, s2g, 428368
27648, 6, g2s, 393408
27648, 6, s2g, 400135
27648, 8, g2s, 379416
27648, 8, s2g, 385995
27648, 9, g2s, 374737
27648, 9, s2g, 381367
27648, 12, g2s, 365388
27648, 12, s2g, 371961
27648, 16, g2s, 271895
27648, 16, s2g, 278472
27648, 18, g2s, 356022
27648, 18, s2g, 362666
27648, 24, g2s, 351362
27648, 24, s2g, 358065
27648, 27, g2s, 349803
27648, 27, s2g, 356334
27648, 32, g2s, 217732
27648, 32, s2g, 224333
27648, 36, g2s, 309443
27648, 36, s2g, 316011
27648, 48, g2s, 183329
27648, 48, s2g, 189806
27648, 54, g2s, 206952
27648, 54, s2g, 213300
27648, 64, g2s, 99798
27648, 64, s2g, 106374
27648, 72, g2s, 155825
27648, 72, s2g, 162477
27648, 96, g2s, 85189
27648, 96, s2g, 91879
27648, 108, g2s, 105835
27648, 108, s2g, 112101
27648, 128, g2s, 55032
27648, 128, s2g, 61651
27648, 144, g2s, 67333
27648, 144, s2g, 73579
27648, 192, g2s, 45914
27648, 192, s2g, 52452
27648, 216, g2s, 67589
27648, 216, s2g, 74026
27648, 256, g2s, 34547
27648, 256, s2g, 41007
27648, 288, g2s, 36292
27648, 288, s2g, 42931
27648, 384, g2s, 23688
27648, 384, s2g, 30076
27648, 432, g2s, 28050
27648, 432, s2g, 34310
27648, 576, g2s, 18077
27648, 576, s2g, 24348
27648, 768, g2s, 13663
