#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->global,10000,   5, 100,2.66422e-066,18.77
Copy_shared->global,10000,  10, 100,2.85046e-066,35.08
Copy_shared->global,10000,  20, 100,2.67276e-066,74.83
Copy_shared->global,10000,  30, 100,2.79e-066,107.5
Copy_shared->global,10000,  40, 100,2.74115e-066,145.9
Copy_shared->global,10000,  50, 100,2.72303e-066,183.6
Copy_shared->global,10000,  60, 100,2.69133e-066,222.9
Copy_shared->global,10000,   1, 200,4.1057e-066,2.436
Copy_shared->global,10000,   2, 200,2.97329e-066,6.727
Copy_shared->global,10000,   3, 200,2.65176e-066,11.31
Copy_shared->global,10000,   4, 200,2.58348e-066,15.48
Copy_shared->global,10000,   5, 200,2.6215e-066,19.07
Copy_shared->global,10000,  10, 200,2.79029e-066,35.84
Copy_shared->global,10000,  20, 200,2.70434e-066,73.96
Copy_shared->global,10000,  30, 200,2.77838e-066, 108
Copy_shared->global,10000,  40, 200,2.75187e-066,145.4
Copy_shared->global,10000,  50, 200,2.65874e-066,188.1
Copy_shared->global,10000,  60, 200,2.69341e-066,222.8
Copy_shared->global,10000,   1, 500,2.64257e-066,3.784
Copy_shared->global,10000,   2, 500,2.61517e-066,7.648
Copy_shared->global,10000,   3, 500,2.78531e-066,10.77
Copy_shared->global,10000,   4, 500,2.77998e-066,14.39
Copy_shared->global,10000,   5, 500,2.70037e-066,18.52
Copy_shared->global,10000,  10, 500,2.83518e-066,35.27
Copy_shared->global,10000,  20, 500,2.65275e-066,75.39
Copy_shared->global,10000,  30, 500,2.78915e-066,107.6
Copy_shared->global,10000,  40, 500,2.69094e-066,148.6
Copy_shared->global,10000,  50, 500,2.76598e-066,180.8
Copy_shared->global,10000,  60, 500,2.7316e-066,219.7
Copy_shared->global,10000,   1, 750,2.65091e-066,3.772
Copy_shared->global,10000,   2, 750,2.77675e-066,7.203
Copy_shared->global,10000,   3, 750,2.72428e-066,11.01
Copy_shared->global,10000,   4, 750,2.66424e-066,15.01
Copy_shared->global,10000,   5, 750,2.62391e-066,19.06
Copy_shared->global,10000,  10, 750,2.79533e-066,35.77
Copy_shared->global,10000,  20, 750,2.67795e-066,74.68
Copy_shared->global,10000,  30, 750,2.76869e-066,108.4
Copy_shared->global,10000,  40, 750,2.70993e-066,147.6
Copy_shared->global,10000,  50, 750,2.63019e-066,190.1
Copy_shared->global,10000,  60, 750,2.70614e-066,221.7
