#niter 2000
#N_elem,N_block,dtype,method,t_tot
32768,1024,float,cuda_shared,41789972
32768,1024,double,cuda_naive,62606138
32768,1024,double,cuda_shared,41625346
32768,0,float,thrust,1194636
32768,0,float,std,27380
65536,64,uint16_t,cuda_naive,35943633
65536,64,uint16_t,cuda_shared,29338701
65536,64,uint32_t,cuda_naive,38816547
65536,64,uint32_t,cuda_shared,29441385
65536,64,float,cuda_naive,38881183
65536,64,float,cuda_shared,29639397
65536,64,double,cuda_naive,45182972
65536,64,double,cuda_shared,33707324
65536,128,uint16_t,cuda_naive,35617174
65536,128,uint16_t,cuda_shared,26998477
65536,128,uint32_t,cuda_naive,36647741
65536,128,uint32_t,cuda_shared,27490258
65536,128,float,cuda_naive,36710182
65536,128,float,cuda_shared,27479083
65536,128,double,cuda_naive,42829745
65536,128,double,cuda_shared,32750444
65536,256,uint16_t,cuda_naive,38719560
65536,256,uint16_t,cuda_shared,29817153
65536,256,uint32_t,cuda_naive,39887793
65536,256,uint32_t,cuda_shared,29778599
65536,256,float,cuda_naive,39840228
65536,256,float,cuda_shared,29720697
65536,256,double,cuda_naive,44768021
65536,256,double,cuda_shared,32831744
65536,512,uint16_t,cuda_naive,47368500
65536,512,uint16_t,cuda_shared,33018092
65536,512,uint32_t,cuda_naive,48188204
65536,512,uint32_t,cuda_shared,33279033
65536,512,float,cuda_naive,48268875
65536,512,float,cuda_shared,33215684
65536,512,double,cuda_naive,50977823
65536,512,double,cuda_shared,35663760
65536,1024,uint16_t,cuda_naive,67221876
65536,1024,uint16_t,cuda_shared,42444687
65536,1024,uint32_t,cuda_naive,66177131
65536,1024,uint32_t,cuda_shared,42275522
65536,1024,float,cuda_naive,66198853
65536,1024,float,cuda_shared,42261694
65536,1024,double,cuda_naive,68614521
65536,1024,double,cuda_shared,44836400
65536,0,float,thrust,2193980
65536,0,float,std,52873
131072,128,uint16_t,cuda_naive,47652700
131072,128,uint16_t,cuda_shared,35649792
131072,128,uint32_t,cuda_naive,53426878
131072,128,uint32_t,cuda_shared,37698562
131072,128,float,cuda_naive,53380152
131072,128,float,cuda_shared,37949866
131072,128,double,cuda_naive,69758307
131072,128,double,cuda_shared,50478430
131072,256,uint16_t,cuda_naive,45233470
131072,256,uint16_t,cuda_shared,35616964
131072,256,uint32_t,cuda_naive,49073352
131072,256,uint32_t,cuda_shared,35867639
131072,256,float,cuda_naive,49028093
131072,256,float,cuda_shared,35735561
131072,256,double,cuda_naive,65215083
131072,256,double,cuda_shared,46403168
131072,512,uint16_t,cuda_naive,54836006
131072,512,uint16_t,cuda_shared,38818671
131072,512,uint32_t,cuda_naive,56681039
131072,512,uint32_t,cuda_shared,38955008
131072,512,float,cuda_naive,56678454
131072,512,float,cuda_shared,39087435
131072,512,double,cuda_naive,68156126
131072,512,double,cuda_shared,47155262
131072,1024,uint16_t,cuda_naive,74411888
131072,1024,uint16_t,cuda_shared,47690695
131072,1024,uint32_t,cuda_naive,74629455
131072,1024,uint32_t,cuda_shared,48022182
131072,1024,float,cuda_naive,74528041
131072,1024,float,cuda_shared,47987538
131072,1024,double,cuda_naive,86228309
131072,1024,double,cuda_shared,56470525
131072,0,float,thrust,4192881
131072,0,float,std,105118
262144,256,uint16_t,cuda_naive,80353136
262144,256,uint16_t,cuda_shared,53596113
262144,256,uint32_t,cuda_naive,92081483
262144,256,uint32_t,cuda_shared,62522757
262144,256,float,cuda_naive,92084556
262144,256,float,cuda_shared,62579402
262144,256,double,cuda_naive,116981948
262144,256,double,cuda_shared,76186167
262144,512,uint16_t,cuda_naive,74368095
262144,512,uint16_t,cuda_shared,53271262
262144,512,uint32_t,cuda_naive,83644733
262144,512,uint32_t,cuda_shared,58277422
262144,512,float,cuda_naive,83394199
262144,512,float,cuda_shared,58392248
262144,512,double,cuda_naive,105024229
262144,512,double,cuda_shared,68154171
262144,1024,uint16_t,cuda_naive,86231872
262144,1024,uint16_t,cuda_shared,56722597
262144,1024,uint32_t,cuda_naive,93938947
262144,1024,uint32_t,cuda_shared,62882110
262144,1024,float,cuda_naive,94116913
262144,1024,float,cuda_shared,62924646
262144,1024,double,cuda_naive,107941596
262144,1024,double,cuda_shared,71483066
262144,0,float,thrust,8237271
262144,0,float,std,208698
524288,512,uint16_t,cuda_naive,147470314
524288,512,uint16_t,cuda_shared,94866632
524288,512,uint32_t,cuda_naive,155273706
524288,512,uint32_t,cuda_shared,102250534
524288,512,float,cuda_naive,155303670
524288,512,float,cuda_shared,102272396
524288,512,double,cuda_naive,207326136
524288,512,double,cuda_shared,127398333
524288,1024,uint16_t,cuda_naive,126425809
524288,1024,uint16_t,cuda_shared,86413313
524288,1024,uint32_t,cuda_naive,133127455
524288,1024,uint32_t,cuda_shared,92424051
524288,1024,float,cuda_naive,132985810
524288,1024,float,cuda_shared,92442770
524288,1024,double,cuda_naive,174755191
524288,1024,double,cuda_shared,109529039
524288,0,float,thrust,16480619
524288,0,float,std,422424
1048576,1024,uint16_t,cuda_naive,260812625
1048576,1024,uint16_t,cuda_shared,165714875
1048576,1024,uint32_t,cuda_naive,277431677
1048576,1024,uint32_t,cuda_shared,181584244
1048576,1024,float,cuda_naive,273535860
1048576,1024,float,cuda_shared,180608877
1048576,1024,double,cuda_naive,381719114
1048576,1024,double,cuda_shared,230145860
1048576,0,float,thrust,33037369
1048576,0,float,std,836257
2097152,0,float,thrust,66867970
2097152,0,float,std,1717355
