#method, iters, size, time(ns)
#Threads for eigen: 12
eigen, 1, 225, 1285577
eigen, 1, 226, 1291588
eigen, 1, 227, 1341783
eigen, 1, 228, 1321054
eigen, 1, 229, 1372260
eigen, 1, 230, 1361960
eigen, 1, 231, 1409750
eigen, 1, 232, 1385295
eigen, 1, 233, 1437062
eigen, 1, 234, 1415331
eigen, 1, 235, 1428636
eigen, 1, 236, 1485082
eigen, 1, 237, 1481926
eigen, 1, 238, 1516732
eigen, 1, 239, 1504588
eigen, 1, 240, 1406835
eigen, 1, 241, 1383511
eigen, 1, 242, 1438435
eigen, 1, 243, 6458622
eigen, 1, 244, 5140565
eigen, 1, 245, 1438765
eigen, 1, 246, 2271530
eigen, 1, 247, 1537340
eigen, 1, 248, 1524116
eigen, 1, 249, 1728189
eigen, 1, 250, 1567868
eigen, 1, 251, 1582125
eigen, 1, 252, 1599447
eigen, 1, 253, 1560965
eigen, 1, 254, 1669238
eigen, 1, 255, 1605258
eigen, 1, 256, 1644662
eigen, 1, 257, 1607663
eigen, 1, 258, 1677825
eigen, 1, 259, 1668316
eigen, 1, 260, 1753677
eigen, 1, 261, 1690268
eigen, 1, 262, 1752124
eigen, 1, 263, 1778514
eigen, 1, 264, 1781901
eigen, 1, 265, 11749640
eigen, 1, 266, 1925821
eigen, 1, 267, 1809723
eigen, 1, 268, 1877790
eigen, 1, 269, 1842634
eigen, 1, 270, 1911754
eigen, 1, 271, 1944315
eigen, 1, 272, 1926752
eigen, 1, 273, 1917986
eigen, 1, 274, 2026220
eigen, 1, 275, 1928035
eigen, 1, 276, 2003106
eigen, 1, 277, 2005451
eigen, 1, 278, 2134163
eigen, 1, 279, 2149492
eigen, 1, 280, 2054683
eigen, 1, 281, 2124073
eigen, 1, 282, 2116208
eigen, 1, 283, 2162416
eigen, 1, 284, 12821456
eigen, 1, 285, 2322767
eigen, 1, 286, 2625676
eigen, 1, 287, 2343977
eigen, 1, 288, 2087975
eigen, 1, 289, 2021941
eigen, 1, 290, 2108854
eigen, 1, 291, 2088897
eigen, 1, 292, 2112371
