#method, iters, size, time(ns)
#Threads for eigen: 12
eigen, 1, 938, 38479074
eigen, 1, 939, 37861333
eigen, 1, 940, 38271264
eigen, 1, 941, 37977751
eigen, 1, 942, 38829985
eigen, 1, 943, 35632623
eigen, 1, 944, 38295799
eigen, 1, 945, 38389416
eigen, 1, 946, 38371191
eigen, 1, 947, 38855371
eigen, 1, 948, 38578922
eigen, 1, 949, 40500826
eigen, 1, 950, 38868746
eigen, 1, 951, 38776073
eigen, 1, 952, 39625720
eigen, 1, 953, 39413240
eigen, 1, 954, 39520221
eigen, 1, 955, 39215199
eigen, 1, 956, 39348639
eigen, 1, 957, 39276934
eigen, 1, 958, 47208576
eigen, 1, 959, 47647841
eigen, 1, 960, 40277895
eigen, 1, 961, 40387242
eigen, 1, 962, 41279950
eigen, 1, 963, 41346977
eigen, 1, 964, 41266053
eigen, 1, 965, 44333671
eigen, 1, 966, 41008580
eigen, 1, 967, 40959448
eigen, 1, 968, 41188318
eigen, 1, 969, 42960520
eigen, 1, 970, 44333591
eigen, 1, 971, 43939961
eigen, 1, 972, 43720027
eigen, 1, 973, 44635759
eigen, 1, 974, 45073302
eigen, 1, 975, 44932086
eigen, 1, 976, 45152040
eigen, 1, 977, 45430894
eigen, 1, 978, 45702815
eigen, 1, 979, 46554787
eigen, 1, 980, 46299738
eigen, 1, 981, 46408212
eigen, 1, 982, 46963255
eigen, 1, 983, 47316139
eigen, 1, 984, 47496688
eigen, 1, 985, 47778518
eigen, 1, 986, 48327170
eigen, 1, 987, 48511385
eigen, 1, 988, 49230878
eigen, 1, 989, 43507438
eigen, 1, 990, 42941984
eigen, 1, 991, 50703808
eigen, 1, 992, 49669333
eigen, 1, 993, 50108298
eigen, 1, 994, 51448848
eigen, 1, 995, 52153944
eigen, 1, 996, 51816460
eigen, 1, 997, 48096706
eigen, 1, 998, 45390198
eigen, 1, 999, 52101135
eigen, 1, 1000, 53289970
eigen, 1, 1001, 53570097
eigen, 1, 1002, 52834884
eigen, 1, 1003, 51135018
eigen, 1, 1004, 47150758
eigen, 1, 1005, 54142183
eigen, 1, 1006, 54431346
eigen, 1, 1007, 54951344
eigen, 1, 1008, 45427748
eigen, 1, 1009, 45857897
eigen, 1, 1010, 46828823
eigen, 1, 1011, 46525542
eigen, 1, 1012, 46849631
eigen, 1, 1013, 47235207
eigen, 1, 1014, 47965560
eigen, 1, 1015, 47700481
eigen, 1, 1016, 48235918
eigen, 1, 1017, 52799858
eigen, 1, 1018, 48164825
eigen, 1, 1019, 53798726
eigen, 1, 1020, 49286984
eigen, 1, 1021, 47651258
eigen, 1, 1022, 45966832
eigen, 1, 1023, 45446203
eigen, 1, 1024, 50864900
eigen, 1, 1025, 50656970
eigen, 1, 1026, 50941214
eigen, 1, 1027, 47301592
eigen, 1, 1028, 48680163
eigen, 1, 1029, 49393885
eigen, 1, 1030, 47594692
eigen, 1, 1031, 50091116
eigen, 1, 1032, 49052674
eigen, 1, 1033, 48504242
eigen, 1, 1034, 50393484
eigen, 1, 1035, 49193408
eigen, 1, 1036, 49487912
eigen, 1, 1037, 50255074
eigen, 1, 1038, 49232982
eigen, 1, 1039, 48596586
eigen, 1, 1040, 50076849
eigen, 1, 1041, 48605914
eigen, 1, 1042, 49786914
eigen, 1, 1043, 53754022
eigen, 1, 1044, 56124499
eigen, 1, 1045, 56506167
eigen, 1, 1046, 51587328
eigen, 1, 1047, 50405166
eigen, 1, 1048, 47551921
eigen, 1, 1049, 46768829
eigen, 1, 1050, 46630780
eigen, 1, 1051, 55086868
eigen, 1, 1052, 52210611
eigen, 1, 1053, 54158143
eigen, 1, 1054, 51624499
eigen, 1, 1055, 52377634
eigen, 1, 1056, 60495657
eigen, 1, 1057, 52813534
eigen, 1, 1058, 53241018
eigen, 1, 1059, 51888495
eigen, 1, 1060, 53823893
eigen, 1, 1061, 62244676
eigen, 1, 1062, 52709638
eigen, 1, 1063, 52230097
eigen, 1, 1064, 52459528
eigen, 1, 1065, 53522698
eigen, 1, 1066, 52965149
eigen, 1, 1067, 55935073
eigen, 1, 1068, 53550339
eigen, 1, 1069, 52319586
eigen, 1, 1070, 53315328
eigen, 1, 1071, 53867245
eigen, 1, 1072, 52338741
eigen, 1, 1073, 52869530
eigen, 1, 1074, 53590264
eigen, 1, 1075, 52388295
eigen, 1, 1076, 55023269
eigen, 1, 1077, 55855583
eigen, 1, 1078, 55844032
eigen, 1, 1079, 60244946
eigen, 1, 1080, 53825086
eigen, 1, 1081, 57273198
eigen, 1, 1082, 56462274
eigen, 1, 1083, 56583141
eigen, 1, 1084, 54881001
eigen, 1, 1085, 54313766
eigen, 1, 1086, 62906510
eigen, 1, 1087, 62128568
eigen, 1, 1088, 62049139
eigen, 1, 1089, 62706965
eigen, 1, 1090, 54119609
eigen, 1, 1091, 62424254
eigen, 1, 1092, 60750967
eigen, 1, 1093, 54175996
eigen, 1, 1094, 55375371
eigen, 1, 1095, 56761647
eigen, 1, 1096, 55661659
eigen, 1, 1097, 55660597
eigen, 1, 1098, 56844403
eigen, 1, 1099, 57754303
eigen, 1, 1100, 55455401
eigen, 1, 1101, 55942457
eigen, 1, 1102, 56570338
eigen, 1, 1103, 57462465
eigen, 1, 1104, 59143876
eigen, 1, 1105, 61109531
eigen, 1, 1106, 59710712
eigen, 1, 1107, 56892564
eigen, 1, 1108, 58675315
eigen, 1, 1109, 58348271
eigen, 1, 1110, 57577931
eigen, 1, 1111, 58541724
eigen, 1, 1112, 57691425
eigen, 1, 1113, 61609592
eigen, 1, 1114, 58695322
eigen, 1, 1115, 59205762
eigen, 1, 1116, 59046523
eigen, 1, 1117, 58632424
eigen, 1, 1118, 58821350
eigen, 1, 1119, 60136702
eigen, 1, 1120, 59477823
eigen, 1, 1121, 67265425
eigen, 1, 1122, 64354121
eigen, 1, 1123, 60077371
eigen, 1, 1124, 58947177
eigen, 1, 1125, 61227092
eigen, 1, 1126, 61649776
eigen, 1, 1127, 60671157
eigen, 1, 1128, 62281755
eigen, 1, 1129, 59581759
eigen, 1, 1130, 61376002
eigen, 1, 1131, 61827652
eigen, 1, 1132, 60160567
eigen, 1, 1133, 60879119
eigen, 1, 1134, 60047725
eigen, 1, 1135, 60139308
eigen, 1, 1136, 60451304
eigen, 1, 1137, 61739215
eigen, 1, 1138, 62255777
eigen, 1, 1139, 62109251
eigen, 1, 1140, 62321489
eigen, 1, 1141, 63789640
eigen, 1, 1142, 81542859
eigen, 1, 1143, 62980008
eigen, 1, 1144, 63726461
eigen, 1, 1145, 63620071
eigen, 1, 1146, 76130893
eigen, 1, 1147, 62489656
eigen, 1, 1148, 55157501
eigen, 1, 1149, 68168984
eigen, 1, 1150, 64629629
eigen, 1, 1151, 64287586
eigen, 1, 1152, 64229227
eigen, 1, 1153, 72092891
eigen, 1, 1154, 64414515
eigen, 1, 1155, 65666278
eigen, 1, 1156, 65421117
eigen, 1, 1157, 69877155
eigen, 1, 1158, 63175526
eigen, 1, 1159, 68499655
eigen, 1, 1160, 66488615
eigen, 1, 1161, 67342280
eigen, 1, 1162, 67310640
eigen, 1, 1163, 67080958
eigen, 1, 1164, 68317874
eigen, 1, 1165, 69203189
eigen, 1, 1166, 65794920
eigen, 1, 1167, 66785342
eigen, 1, 1168, 69892604
eigen, 1, 1169, 69713558
eigen, 1, 1170, 72541304
eigen, 1, 1171, 74994506
eigen, 1, 1172, 65199261
eigen, 1, 1173, 77233706
eigen, 1, 1174, 60199271
eigen, 1, 1175, 82259886
eigen, 1, 1176, 76214530
eigen, 1, 1177, 63082129
eigen, 1, 1178, 62351636
eigen, 1, 1179, 75074327
eigen, 1, 1180, 76168674
eigen, 1, 1181, 73013202
eigen, 1, 1182, 62938521
eigen, 1, 1183, 67925065
eigen, 1, 1184, 74436497
eigen, 1, 1185, 69022960
eigen, 1, 1186, 77381274
eigen, 1, 1187, 70140490
eigen, 1, 1188, 74634159
eigen, 1, 1189, 73633648
eigen, 1, 1190, 73509194
eigen, 1, 1191, 68526857
eigen, 1, 1192, 70487583
eigen, 1, 1193, 70923673
eigen, 1, 1194, 74055651
eigen, 1, 1195, 72411640
eigen, 1, 1196, 93274084
eigen, 1, 1197, 63627746
eigen, 1, 1198, 79441767
eigen, 1, 1199, 77378699
eigen, 1, 1200, 71159276
eigen, 1, 1201, 113915462
eigen, 1, 1202, 63337942
eigen, 1, 1203, 75496009
eigen, 1, 1204, 70880763
eigen, 1, 1205, 74318024
eigen, 1, 1206, 71510827
eigen, 1, 1207, 72004415
eigen, 1, 1208, 72124561
eigen, 1, 1209, 71243575
eigen, 1, 1210, 72777177
eigen, 1, 1211, 78941147
eigen, 1, 1212, 72191556
eigen, 1, 1213, 73157723
eigen, 1, 1214, 91671490
eigen, 1, 1215, 66084555
eigen, 1, 1216, 78027278
eigen, 1, 1217, 76593122
eigen, 1, 1218, 78643677
eigen, 1, 1219, 78298097
eigen, 1, 1220, 81437961
eigen, 1, 1221, 66059959
eigen, 1, 1222, 83107620
eigen, 1, 1223, 121763266
eigen, 1, 1224, 74181268
eigen, 1, 1225, 88877768
eigen, 1, 1226, 63804599
eigen, 1, 1227, 66197287
eigen, 1, 1228, 78716374
eigen, 1, 1229, 80321081
eigen, 1, 1230, 69867437
eigen, 1, 1231, 79924555
eigen, 1, 1232, 85070380
eigen, 1, 1233, 77071922
eigen, 1, 1234, 82114974
eigen, 1, 1235, 84480130
eigen, 1, 1236, 63893065
eigen, 1, 1237, 77458419
eigen, 1, 1238, 80415949
eigen, 1, 1239, 85950275
eigen, 1, 1240, 80742403
eigen, 1, 1241, 78533030
eigen, 1, 1242, 86453921
eigen, 1, 1243, 86158585
eigen, 1, 1244, 76414437
eigen, 1, 1245, 88392004
eigen, 1, 1246, 74009405
eigen, 1, 1247, 91246011
eigen, 1, 1248, 69545081
eigen, 1, 1249, 80946948
eigen, 1, 1250, 79046143
eigen, 1, 1251, 77398757
eigen, 1, 1252, 78684444
eigen, 1, 1253, 77689393
eigen, 1, 1254, 77880072
eigen, 1, 1255, 78906050
eigen, 1, 1256, 79606458
eigen, 1, 1257, 79904067
eigen, 1, 1258, 81269795
